train_id,metro_name,line_name,station_id,arrival_time,departure_time,scheduled_time,actual_time,delay_minutes,train_frequency,occupancy_percentage,service_status
DEL-YE-00001,Delhi Metro,Yellow Line,DEL001,06:50:00,06:50:35,06:49:00,06:50:00,1,4,22,Running
DEL-YE-00001,Delhi Metro,Yellow Line,DEL002,06:56:35,06:57:00,06:52:35,06:56:35,4,4,34,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL003,07:04:00,07:04:20,06:59:00,07:04:00,5,4,90,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL004,07:12:20,07:12:40,07:06:20,07:12:20,6,4,72,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL005,07:23:40,07:24:00,07:15:40,07:23:40,8,4,40,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL006,07:34:00,07:34:25,07:26:00,07:34:00,8,4,52,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL007,07:45:25,07:46:00,07:36:25,07:45:25,9,4,80,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL008,07:58:00,07:58:20,07:48:00,07:58:00,10,4,70,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL009,08:10:20,08:10:40,08:00:20,08:10:20,10,4,126,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL010,08:22:40,08:23:05,08:12:40,08:22:40,10,4,97,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL011,08:38:05,08:38:40,08:25:05,08:38:05,13,4,99,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL012,08:55:40,08:56:05,08:40:40,08:55:40,15,4,126,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL013,09:13:05,09:13:30,08:58:05,09:13:05,15,4,118,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL014,09:31:30,09:32:00,09:15:30,09:31:30,16,4,95,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL015,09:50:00,09:50:30,09:34:00,09:50:00,16,4,124,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL016,10:09:30,10:10:05,09:53:30,10:09:30,16,4,71,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL017,10:30:05,10:30:40,10:12:05,10:30:05,18,4,77,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL018,10:50:40,10:51:05,10:32:40,10:50:40,18,4,78,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL019,11:12:05,11:12:40,10:54:05,11:12:05,18,4,32,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL020,11:33:40,11:34:10,11:15:40,11:33:40,18,4,26,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL021,11:54:10,11:54:35,11:36:10,11:54:10,18,4,62,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL022,12:17:35,12:18:05,11:56:35,12:17:35,21,4,48,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL023,12:44:05,12:44:25,12:20:05,12:44:05,24,4,26,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL024,13:12:25,13:12:50,12:47:25,13:12:25,25,4,37,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL025,13:40:50,13:41:10,13:14:50,13:40:50,26,4,36,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL026,14:09:10,14:09:45,13:43:10,14:09:10,26,4,27,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL027,14:37:45,14:38:10,14:11:45,14:37:45,26,4,45,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL028,15:09:10,15:09:35,14:41:10,15:09:10,28,4,45,Delayed
DEL-YE-00001,Delhi Metro,Yellow Line,DEL029,15:40:35,15:40:55,15:11:35,15:40:35,29,4,27,Delayed
